173416 124543 0 0
0 0 1226466 162066
563988 747969 0 0
651128 737404 0 0
0 0 162066 62332
跟 47 270 14 0
乞 0 10 0 0
占 492 1015 78 4
矣 0 43 0 0
哥 111 122 349 45
啤 95 0 0 0
绩 0 46 967 4
躏 0 0 6 0
惭 11 3 0 0
氓 0 14 11 0
普 1214 280 113 39
泵 0 22 25 0
赴 15 178 66 0
雹 0 21 0 0
５ 839 3066 7182 2250
寻 371 117 15 20
饼 0 39 5 0
掀 41 6 0 0
蜃 0 0 0 5
搅 7 22 0 0
薄 173 96 19 4
三 2821 3542 1164 710
辈 0 141 36 0
倍 5 415 54 0
册 0 165 91 9
嚎 0 2 0 0
父 285 58 12 0
３ 4003 2282 155 1155
墒 3 7 0 0
抖 0 19 22 5
昙 3 1 0 0
糅 0 5 0 0
榜 65 35 10 7
负 1451 299 167 59
圣 99 148 79 6
邢 9 17 0 0
琥 2 0 0 0
大 10970 5872 5862 2058
窦 2 12 2 0
徨 0 0 3 0
挫 60 26 0 0
粪 7 21 0 0
憬 0 1 0 0
支 1953 605 630 253
暮 0 30 0 1
记 4601 283 1154 96
状 735 105 194 22
嘹 4 0 0 0
扁 5 6 0 0
权 827 851 1247 103
殿 17 48 13 6
肠 18 58 11 2
义 358 396 6232 57
迈 152 113 7 120
泊 24 39 5 82
遍 74 81 509 3
里 577 2464 3748 223
畏 8 23 34 2
盎 37 1 0 4
寐 0 3 0 9
当 3984 1284 1588 158
厢 0 3 56 0
展 968 166 8519 257
拖 100 97 0 6
滞 49 48 3 0
珠 73 136 52 1
督 39 18 638 56
髦 0 5 43 0
荫 0 39 6 0
恭 13 14 11 0
蛮 5 16 10 0
橱 18 10 2 0
琏 0 2 1 0
佳 118 109 174 0
具 1637 185 394 50
矸 26 2 0 0
铺 131 136 4 0
顽 82 35 0 0
搀 6 2 0 0
肃 53 9 317 58
蜂 10 77 0 0
阀 0 19 34 0
栈 1 9 0 0
咋 0 19 0 0
鞍 25 26 0 7
抬 26 63 0 0
墓 16 120 53 0
２ 4913 3963 117 1509
宕 0 5 3 2
暗 29 80 37 8
鼎 8 30 0 10
‘ 0 1588 15 0
沛 0 33 1 18
挚 4 8 54 0
依 984 134 15 39
东 1424 688 1136 477
那 1908 1294 25 15
厥 0 6 0 6
判 173 153 1169 9
座 391 668 219 11
梳 0 29 0 0
段 19 459 958 13
嚷 2 9 2 0
锶 0 1 0 0
逸 1 62 2 15
区 470 1289 5485 43
徽 1 12 150 84
社 6560 322 7447 56
旁 52 121 52 0
胃 15 46 0 0
杂 327 143 291 2
爷 12 64 13 0
仇 23 14 5 0
浆 0 58 18 0
觉 311 149 366 62
案 332 306 1446 31
谴 141 1 0 0
归 209 273 51 0
敖 1 2 0 0
聘 80 99 99 0
泛 78 41 564 0
罢 90 47 0 0
保 3684 446 239 94
楞 0 3 2 0
嗡 3 5 3 0
面 1624 480 5924 140
句 5 260 34 90
继 1631 221 116 23
秩 196 0 0 0
碗 2 78 0 0
孪 1 0 0 0
傀 18 0 0 0
拯 32 2 0 0
深 2261 402 220 23
汰 0 10 79 8
裳 0 11 0 0
诵 3 20 7 0
雷 328 290 104 146
镶 13 18 0 0
凹 2 16 0 0
灸 0 4 71 5
系 1363 375 3780 37
忽 235 42 0 0
诫 0 3 31 0
竿 0 20 0 5
考 1451 161 282 9
茅 31 26 31 7
抄 0 56 19 0
万 309 3634 2327 372
袈 5 0 0 0
殊 0 36 344 4
霍 15 138 27 3
岐 0 7 1 0
徒 23 134 27 0
噩 5 1 0 0
肘 0 13 0 0
氛 26 0 228 0
溜 7 24 3 3
锡 7 91 43 83
拱 2 10 3 0
瀣 0 0 0 1
愚 15 29 0 0
帧 0 1 16 0
天 1230 2052 4156 171
墨 254 114 14 8
宪 519 67 11 14
札 63 6 0 0
石 906 565 261 29
墟 0 3 14 0
炸 84 85 270 19
聋 11 39 0 0
稿 33 140 146 0
蕴 43 15 17 0
拄 0 8 0 0
蹇 0 2 1 0
淆 0 1 20 1
驶 35 36 74 14
雌 0 6 0 0
野 139 173 111 31
蹦 0 12 0 4
孕 45 49 13 8
汛 4 11 0 0
觞 0 2 0 0
啡 0 0 109 0
遣 5 24 56 0
矢 2 15 12 3
勤 333 115 227 23
左 444 238 8 0
磨 14 106 33 0
葫 10 0 0 3
杭 204 21 0 0
良 547 265 453 4
泰 419 253 18 5
诒 0 2 0 3
陷 111 32 48 13
兹 41 113 66 6
罕 57 26 0 34
类 250 362 952 6
综 625 8 0 12
穿 67 208 59 0
滔 12 4 6 6
攀 59 74 0 0
昂 66 88 26 13
谆 6 0 6 0
岑 0 13 1 0
笔 126 301 138 2
林 560 995 1228 180
涛 0 78 73 1
戚 5 22 36 0
菽 0 0 2 0
唠 2 11 0 0
雏 5 9 0 0
本 4742 1343 4732 1106
嘉 5 127 3 29
串 7 99 16 9
琶 0 0 5 0
点 147 1344 3149 245
刺 102 121 0 0
纽 219 25 0 5
弼 0 7 0 9
宿 105 62 66 14
臃 0 8 0 0
担 637 149 394 5
过 2455 2381 4173 57
豆 53 106 31 0
棉 166 229 2 4
堍 0 1 0 0
雍 3 13 0 0
姓 48 39 72 0
答 237 241 326 0
爸 34 13 34 0
踊 44 0 0 0
作 5863 1599 9457 787
院 354 314 3490 125
忧 87 97 60 53
票 76 291 447 27
婪 0 0 3 0
走 616 1246 170 0
蹲 8 21 0 0
瑶 16 17 0 0
烹 43 7 0 0
酸 22 93 27 6
牺 145 0 0 7
绽 2 11 0 0
彼 103 45 0 10
寿 37 79 31 15
顾 529 232 425 49
搁 9 19 0 0
暂 172 61 31 0
沆 1 0 0 0
栉 1 11 0 0
锋 17 22 326 23
炎 0 78 27 1
少 925 889 2347 268
朗 0 159 682 17
’ 18 1589 4 0
洛 80 197 42 224
抚 26 70 12 0
丝 168 169 27 5
辜 25 5 12 0
弧 32 4 0 0
匆 42 3 30 0
馨 0 16 0 1
昭 8 57 97 2
振 288 240 11 96
肮 7 0 0 0
谱 27 80 8 0
亲 799 170 395 0
讴 17 0 0 0
鸽 5 18 8 0
揄 0 1 2 0
桉 4 0 0 0
览 0 21 288 205
降 368 237 487 0
协 2278 78 943 74
郎 3 42 55 0
屑 0 17 0 7
绒 0 41 18 0
蝗 0 22 0 0
恙 0 0 10 0
赛 118 464 2926 124
拚 0 127 0 0
九 487 545 444 607
远 371 471 507 43
俑 0 11 25 0
团 1426 541 1844 509
剥 54 53 0 0
古 740 504 248 54
峦 0 3 7 0
姨 0 23 7 0
柬 454 262 0 0
药 254 389 318 49
惮 0 1 6 0
仲 28 111 2 86
说 939 9252 1371 23
坷 0 1 32 0
银 1042 204 10 61
凸 0 8 0 2
勺 0 12 0 0
幽 69 49 3 0
翼 0 86 26 0
衔 17 15 17 0
极 424 357 1357 461
漆 0 104 19 4
殉 1 22 0 0
隋 2 18 0 0
同 6304 3169 2843 859
钞 8 10 0 0
猎 13 73 12 0
帐 0 128 5 0
弭 0 1 1 0
研 3953 38 1061 36
艘 0 190 0 0
战 3214 463 942 502
些 3 279 6885 66
脚 92 190 77 9
涝 1 50 1 0
谜 0 41 7 0
圄 0 0 2 0
瘠 5 1 10 0
劣 23 54 83 0
唢 4 0 0 0
冥 2 9 0 0
弦 0 61 12 8
太 636 566 38 126
断 49 213 1245 17
搬 44 95 36 10
肯 236 109 0 0
辱 2 20 51 0
丰 694 127 21 3
洲 12 103 2148 106
眶 0 5 4 0
券 0 16 272 0
麻 115 123 16 11
尼 321 675 114 553
鼓 677 169 2 28
渊 15 32 0 0
但 1136 3478 222 0
诉 6 264 388 2
痍 0 0 1 0
像 6 94 272 25
华 705 951 1158 6963
踹 0 1 0 0
髓 0 13 4 0
塔 72 374 38 103
杖 0 8 10 0
托 52 326 263 78
距 71 89 151 0
轶 5 16 0 0
裟 0 0 5 0
碑 0 76 44 0
燥 0 3 16 0
挎 5 3 0 0
彦 0 59 54 27
饪 0 0 27 0
旭 1 41 2 0
葬 0 45 30 1
惯 25 30 178 0
据 283 3232 1556 87
俱 84 27 0 16
买 77 616 269 27
瓷 26 71 34 0
靶 6 24 0 0
叹 18 30 63 3
鱼 77 300 167 34
签 695 115 97 0
蚀 0 21 46 0
悄 55 5 51 0
辆 0 300 116 5
怖 0 4 50 38
和 1609 28744 457 679
透 245 103 53 10
１ 14383 3542 725 1286
庐 15 3 10 0
娓 11 0 7 4
夕 2 30 221 8
折 79 125 142 16
丛 91 39 28 1
贝 422 327 16 110
跄 0 1 3 0
尧 0 49 4 1
鹰 1 42 7 0
蹋 0 0 2 0
骨 238 186 10 1
怯 2 5 0 0
漱 0 7 1 0
液 41 74 50 0
匹 7 54 0 0
粼 5 0 5 0
宾 162 121 383 39
汇 411 177 703 29
歉 0 22 26 0
陋 17 17 28 5
镍 0 16 0 0
铌 0 4 0 0
偏 143 175 14 2
网 176 237 82 0
岫 2 0 0 0
奕 1 7 3 3
浏 30 0 0 0
著 583 95 457 1
拘 41 31 14 0
湛 27 41 32 0
绎 0 32 0 0
诞 97 4 30 19
坡 0 108 132 1
因 2604 832 818 30
痢 0 1 0 0
入 505 488 3693 35
烤 6 50 0 0
孩 546 9 78 0
虫 0 87 21 19
蓬 71 17 115 18
息 13 147 1302 55
仰 18 14 59 0
矶 0 0 23 0
呕 17 2 0 0
幻 60 46 23 0
出 6452 2646 7961 284
顿 3 161 393 5
嗔 1 0 0 0
最 2977 1880 0 0
踪 4 33 37 0
誉 72 40 441 11
型 17 359 1387 4
锌 0 47 1 0
熏 12 17 0 0
０ 7220 7967 3780 2680
喂 4 46 0 0
斗 937 100 908 130
俘 31 3 17 0
供 958 402 1222 0
眠 0 27 4 0
带 1109 613 424 3
枫 15 14 0 0
堪 42 19 34 5
播 182 152 485 0
蔬 246 7 0 0
估 246 41 24 0
讳 19 8 5 0
梵 7 3 0 0
褴 3 0 0 0
喷 31 108 3 3
阶 640 23 69 1368
犹 70 45 0 7
庵 0 5 1 0
债 461 154 216 0
杀 69 154 133 1
情 2911 389 1828 63
掷 0 13 7 0
淇 0 4 1 0
埋 68 56 1 0
响 85 167 1279 101
界 75 308 3698 150
减 962 244 288 0
黑 482 247 7 49
罐 42 29 1 0
篓 1 7 0 0
磕 1 8 0 0
奔 122 97 13 0
旗 172 227 37 0
拙 0 21 0 0
进 8821 872 3843 26
聚 157 109 65 50
妻 101 20 52 0
纶 0 36 16 0
靠 69 636 320 16
口 309 555 2795 153
呢 6 691 0 1
煤 398 310 55 17
巧 42 118 41 19
嫩 3 32 545 0
拦 30 51 0 0
敬 97 111 117 1
笼 14 48 7 0
轰 168 32 0 6
汲 29 3 0 0
棵 0 95 0 0
闷 0 38 7 0
陶 101 103 20 0
卸 0 55 60 4
翻 274 185 55 0
尾 24 97 20 0
姿 44 30 33 24
驾 77 43 0 0
烁 0 1 19 0
范 510 140 515 117
蒂 3 131 0 40
者 0 1214 8043 44
了 936 32153 2107 18
看 1812 1438 430 0
名 1361 3652 1027 98
徐 247 303 8 0
粒 22 41 10 28
堕 18 6 0 0
蔗 5 57 0 0
暖 24 104 95 15
禄 0 18 2 0
掘 6 23 190 0
肚 8 34 3 0
鞠 19 12 0 0
匣 0 2 0 3
钢 433 290 171 0
冤 11 30 5 0
紧 943 204 319 2
麦 4 164 166 110
娩 0 1 8 0
末 25 237 84 0
搭 39 103 2 0
芮 1 7 0 0
辰 0 17 56 0
榴 0 18 7 0
男 633 319 1 0
隶 22 5 24 0
爹 3 7 0 0
鼻 26 21 4 0
尽 942 284 80 59
痴 0 24 3 0
荃 0 0 1 0
擂 69 14 0 0
浇 13 44 0 10
仆 0 17 17 0
苍 45 21 6 4
狎 0 2 0 0
硕 41 19 19 0
委 2937 318 2864 1118
佛 104 136 94 0
惚 0 0 3 0
汝 1 48 9 5
襟 0 25 0 0
埠 0 26 0 1
瓢 0 6 0 0
健 706 112 173 4
凤 37 106 14 17
寨 3 66 502 4
旬 0 18 201 0
拮 8 1 0 0
乱 6 388 273 80
述 76 112 716 0
零 231 318 12 111
特 3153 904 866 347
司 410 146 2352 33
彻 137 27 530 0
图 1123 864 420 59
籽 0 26 17 7
饿 0 35 38 0
要 2872 7803 7597 191
沃 13 99 16 12
疯 0 22 0 0
辅 116 39 0 13
脆 13 17 32 0
甭 3 8 0 0
序 58 58 363 7
崎 8 10 0 0
逐 781 97 124 20
钓 40 7 0 0
阔 28 29 204 27
肛 0 5 0 0
会 5757 2806 12843 3621
舜 0 1 0 5
晚 520 366 331 6
焦 83 76 0 0
吨 16 926 0 17
被 226 3177 20 0
训 510 71 831 156
躯 5 23 7 0
贮 24 36 4 0
尸 0 31 1 0
邻 121 29 34 16
强 1825 586 3032 26
弓 0 26 0 1
唾 3 8 0 0
见 435 577 2356 62
血 141 270 222 11
迅 391 15 211 0
拇 12 0 0 0
腆 0 2 3 0
藉 0 14 5 0
摈 6 0 0 0
磋 155 0 17 0
经 11772 935 1757 912
金 1073 1023 2324 298
遐 9 10 0 11
卒 0 12 4 0
毯 0 12 61 0
胛 0 1 0 0
悲 138 48 8 2
捐 116 47 0 7
敞 27 11 16 0
鹤 1 95 4 13
煦 0 10 2 0
周 1057 655 254 43
坪 0 37 2 0
语 259 286 422 20
浮 87 95 2 29
恰 128 50 64 0
晴 3 34 4 19
奶 52 58 47 0
僻 2 24 38 0
囿 14 2 0 0
椁 0 0 1 0
调 2811 407 1460 13
咽 13 4 0 0
验 70 61 1941 151
香 782 225 62 6
吓 6 21 7 0
隔 121 105 14 4
挝 0 0 31 0
芜 0 20 11 0
星 355 241 304 19
颠 42 8 0 0
客 661 155 693 8
弥 65 33 0 4
纤 39 21 21 0
甩 0 21 0 0
咨 248 7 0 0
檬 0 0 4 0
港 330 246 705 45
脱 402 127 179 1
莲 0 86 6 1
朵 0 85 21 0
暴 139 123 8 6
岸 25 80 326 12
逻 31 0 37 12
阿 1777 480 14 129
疾 91 82 8 179
检 1258 87 122 15
饶 10 30 16 0
诂 0 2 0 0
艇 1 60 37 0
臆 0 5 0 1
蕉 0 27 1 0
偶 64 40 0 0
嫌 5 56 0 0
鹏 0 61 167 0
兑 75 36 2 0
呓 0 7 0 0
遏 19 6 0 0
畸 30 7 0 2
浙 311 16 3 0
拜 63 63 42 16
晟 0 0 4 0
剧 281 245 693 21
哨 54 31 1 0
衫 0 21 20 0
淮 167 22 0 0
菲 254 122 69 9
更 986 2349 30 55
穷 34 151 147 18
饕 1 0 0 0
狼 3 26 0 0
袁 49 114 0 1
送 390 448 270 2
匪 0 15 8 0
溅 0 5 9 0
怆 0 0 3 0
馋 0 3 0 0
昊 0 12 3 11
窍 0 2 8 2
邑 0 14 0 1
划 81 130 2204 140
氨 10 11 0 5
栖 4 38 0 0
沙 283 319 153 48
业 799 553 14340 1498
芝 24 24 0 1
茜 0 5 18 0
搞 835 1226 0 43
倦 0 22 9 0
钩 2 37 151 0
用 1206 2641 6052 305
阪 0 50 0 2
侯 97 70 0 0
氮 0 40 11 0
朴 58 57 74 44
粹 0 2 30 0
冻 0 75 27 5
瞿 2 15 0 0
吾 0 29 2 47
裁 491 55 231 6
睡 0 122 0 0
跃 11 100 310 29
仅 132 655 984 60
纷 278 32 398 8
菇 0 21 44 0
聆 12 1 0 0
蓉 3 19 1 0
效 1095 115 1042 623
始 186 70 1734 52
筌 0 1 0 0
忏 3 0 0 0
郑 246 153 0 0
妹 20 26 39 0
嗓 10 15 0 0
牒 0 1 5 0
雕 197 71 44 2
诗 311 512 39 1
酥 2 7 0 0
奠 35 22 0 0
绥 7 18 0 0
彤 0 6 2 0
糙 0 2 11 0
哩 0 28 0 0
蹒 1 7 0 1
陪 125 54 0 0
俯 6 8 0 0
慰 143 17 61 0
色 129 451 1054 478
蝴 6 0 0 0
篷 0 26 0 13
顶 75 202 12 6
击 207 152 1012 246
畦 0 3 9 0
矿 338 285 315 3
清 827 777 333 15
澄 44 12 0 4
指 3170 298 55 49
肆 15 54 0 0
蚊 2 7 0 0
稍 9 90 0 0
完 2216 275 1 4
／ 0 1157 0 3
嘿 1 5 1 0
瀑 15 5 0 0
犒 0 1 0 0
袖 3 23 60 0
亚 562 630 2024 223
期 986 488 3237 201
撞 0 77 23 0
堡 14 112 117 2
鸥 0 12 3 0
群 2374 328 191 2
邦 103 135 273 260
溯 0 20 3 0
伯 54 162 372 113
釉 0 4 0 0
？ 0 2677 0 0
尹 11 44 0 0
纺 254 56 49 0
爽 18 23 0 0
邹 28 67 0 0
逡 0 1 0 0
赃 36 1 0 0
久 56 233 575 210
迄 118 5 0 0
胆 9 47 117 15
奋 383 47 156 279
富 413 297 944 703
勒 11 123 193 664
陕 270 14 0 0
埔 0 13 0 454
狸 0 1 0 0
淘 87 9 0 0
滚 18 46 23 2
菜 60 265 378 21
束 61 59 889 4
擞 0 4 5 0
卧 10 54 4 3
烦 22 21 73 0
门 330 801 4459 41
楫 0 1 4 0
雪 61 300 237 37
诬 40 10 0 0
软 129 92 10 0
违 664 68 0 0
眺 11 3 0 0
柴 113 115 14 4
筷 7 7 0 0
壶 0 14 10 0
养 336 348 918 15
建 8210 785 1447 560
睿 3 2 0 0
抱 38 159 38 1
言 257 375 724 462
溃 0 11 6 0
超 926 626 110 0
肇 11 39 0 0
蜀 4 2 0 5
骋 0 0 15 0
砌 2 18 4 0
缎 0 2 6 0
玑 0 2 4 0
嚓 0 1 0 0
儒 5 49 6 0
梗 3 3 0 0
辙 0 11 5 0
丘 0 54 35 9
抛 53 51 0 0
膝 1 19 2 5
“ 0 17777 0 0
管 2714 556 932 24
稠 12 1 0 0
尤 288 90 1 1
瞩 47 1 2 17
榭 0 3 1 0
莱 47 215 15 69
舰 56 91 90 0
苟 6 64 0 0
常 1470 329 1555 98
值 347 118 1278 24
霾 0 0 1 0
毁 61 69 204 0
镌 9 0 0 0
捆 5 23 0 0
立 1164 426 3621 113
蕊 0 3 2 0
种 1078 2459 4964 69
塌 0 35 0 2
鳏 5 9 0 0
发 14637 822 2353 180
酒 78 422 223 33
痕 0 27 4 0
这 13057 10235 0 2
湘 62 83 0 0
招 828 141 12 21
赚 66 33 4 0
蓟 8 5 0 0
寡 8 31 0 23
绣 1 29 10 0
奢 13 21 0 0
工 12742 620 3390 708
烧 53 178 49 0
卦 0 2 3 0
韩 57 126 0 3
器 168 333 1256 100
番 0 172 145 0
衬 8 38 4 0
泯 7 6 0 0
潮 78 117 372 0
艰 698 38 0 4
磷 14 17 0 0
幸 115 41 111 1
函 44 37 43 0
灼 4 14 3 0
七 944 721 525 369
概 176 47 70 0
有 8845 12482 8592 732
迭 1 23 7 6
程 568 157 2579 228
复 510 323 1107 52
小 2456 1894 353 552
美 5797 1762 737 280
冒 68 168 28 5
栗 0 27 4 0
殖 78 18 214 32
伙 106 55 33 42
亘 0 6 2 0
舛 0 0 2 0
辛 124 138 11 46
窠 0 2 0 0
鸣 5 98 45 2
倚 0 11 0 0
粤 9 28 0 0
厦 85 7 62 0
眩 0 5 0 0
胳 19 2 0 0
